# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset cs --seed 8 --method nsreg --tag E400_nsreg --epochs 400 --rotations 1
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] NSReg, rotations [np.int64(1)] of [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] n_epochs=400 eval_every=1 input_dim=6805 wd=0.0 lr=0.001
Normal classes: [2, 4, 5, 7, 10, 11, 13] in cs
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 308  num train neg edges: 884
NSReg Training ...
Batch mode: enabled original propertion
Epoch  0 loss=1.5817, clf_loss=0.7999, lbl_loss=0.7818
Epoch  1 loss=1.3778, clf_loss=0.6426, lbl_loss=0.7352
Epoch  2 loss=1.2351, clf_loss=0.5107, lbl_loss=0.7244
Epoch  3 loss=1.1293, clf_loss=0.4192, lbl_loss=0.7101
Epoch  4 loss=1.0413, clf_loss=0.3459, lbl_loss=0.6953
Epoch  5 loss=0.9795, clf_loss=0.2943, lbl_loss=0.6852
Epoch  6 loss=0.9438, clf_loss=0.2666, lbl_loss=0.6772
Epoch  7 loss=0.9328, clf_loss=0.2601, lbl_loss=0.6727
Epoch  8 loss=0.9208, clf_loss=0.2608, lbl_loss=0.6600
Epoch  9 loss=0.9431, clf_loss=0.2679, lbl_loss=0.6752
Epoch 10 loss=0.9452, clf_loss=0.2763, lbl_loss=0.6689
Epoch 11 loss=0.9430, clf_loss=0.2674, lbl_loss=0.6756
Epoch 12 loss=0.9381, clf_loss=0.2659, lbl_loss=0.6722
Epoch 13 loss=0.9249, clf_loss=0.2470, lbl_loss=0.6779
Epoch 14 loss=0.9151, clf_loss=0.2374, lbl_loss=0.6777
Epoch 15 loss=0.9012, clf_loss=0.2268, lbl_loss=0.6744
Epoch 16 loss=0.9035, clf_loss=0.2143, lbl_loss=0.6892
Epoch 17 loss=0.8644, clf_loss=0.2087, lbl_loss=0.6557
Epoch 18 loss=0.8662, clf_loss=0.2032, lbl_loss=0.6630
Epoch 19 loss=0.8691, clf_loss=0.2001, lbl_loss=0.6690
Epoch 20 loss=0.8649, clf_loss=0.1979, lbl_loss=0.6670
Epoch 21 loss=0.8631, clf_loss=0.1935, lbl_loss=0.6697
Epoch 22 loss=0.8691, clf_loss=0.1895, lbl_loss=0.6796
Epoch 23 loss=0.8562, clf_loss=0.1797, lbl_loss=0.6765
Epoch 24 loss=0.8583, clf_loss=0.1769, lbl_loss=0.6814
Epoch 25 loss=0.8470, clf_loss=0.1707, lbl_loss=0.6763
Epoch 26 loss=0.8319, clf_loss=0.1618, lbl_loss=0.6701
Epoch 27 loss=0.8254, clf_loss=0.1536, lbl_loss=0.6718
Epoch 28 loss=0.8240, clf_loss=0.1518, lbl_loss=0.6721
Epoch 29 loss=0.8171, clf_loss=0.1448, lbl_loss=0.6723
Epoch 30 loss=0.8089, clf_loss=0.1414, lbl_loss=0.6675
Epoch 31 loss=0.7939, clf_loss=0.1312, lbl_loss=0.6627
Epoch 32 loss=0.7868, clf_loss=0.1260, lbl_loss=0.6608
Epoch 33 loss=0.7928, clf_loss=0.1230, lbl_loss=0.6698
Epoch 34 loss=0.7958, clf_loss=0.1219, lbl_loss=0.6739
Epoch 35 loss=0.7735, clf_loss=0.1133, lbl_loss=0.6601
Epoch 36 loss=0.7721, clf_loss=0.1052, lbl_loss=0.6669
Epoch 37 loss=0.7635, clf_loss=0.0993, lbl_loss=0.6642
Epoch 38 loss=0.7529, clf_loss=0.0957, lbl_loss=0.6572
Epoch 39 loss=0.7504, clf_loss=0.0904, lbl_loss=0.6600
Epoch 40 loss=0.7469, clf_loss=0.0863, lbl_loss=0.6606
Epoch 41 loss=0.7348, clf_loss=0.0807, lbl_loss=0.6540
Epoch 42 loss=0.7328, clf_loss=0.0715, lbl_loss=0.6613
Epoch 43 loss=0.7141, clf_loss=0.0615, lbl_loss=0.6526
Epoch 44 loss=0.7254, clf_loss=0.0597, lbl_loss=0.6657
Epoch 45 loss=0.7126, clf_loss=0.0536, lbl_loss=0.6590
Epoch 46 loss=0.6967, clf_loss=0.0455, lbl_loss=0.6512
Epoch 47 loss=0.6850, clf_loss=0.0413, lbl_loss=0.6436
Epoch 48 loss=0.6882, clf_loss=0.0350, lbl_loss=0.6532
Epoch 49 loss=0.6880, clf_loss=0.0291, lbl_loss=0.6589
Epoch 50 loss=0.6724, clf_loss=0.0276, lbl_loss=0.6448
Epoch 51 loss=0.6698, clf_loss=0.0237, lbl_loss=0.6461
Epoch 52 loss=0.6719, clf_loss=0.0235, lbl_loss=0.6484
Epoch 53 loss=0.6704, clf_loss=0.0265, lbl_loss=0.6439
Epoch 54 loss=0.6567, clf_loss=0.0110, lbl_loss=0.6457
Epoch 55 loss=0.6538, clf_loss=0.0125, lbl_loss=0.6413
Epoch 56 loss=0.6355, clf_loss=0.0121, lbl_loss=0.6233
Epoch 57 loss=0.6431, clf_loss=0.0053, lbl_loss=0.6378
Epoch 58 loss=0.6455, clf_loss=0.0088, lbl_loss=0.6368
Epoch 59 loss=0.6443, clf_loss=0.0057, lbl_loss=0.6386
Epoch 60 loss=0.6385, clf_loss=0.0075, lbl_loss=0.6310
Epoch 61 loss=0.6313, clf_loss=0.0073, lbl_loss=0.6240
Epoch 62 loss=0.6196, clf_loss=0.0039, lbl_loss=0.6157
Epoch 63 loss=0.6210, clf_loss=0.0031, lbl_loss=0.6180
Epoch 64 loss=0.6045, clf_loss=0.0016, lbl_loss=0.6028
Epoch 65 loss=0.6324, clf_loss=0.0028, lbl_loss=0.6296
Epoch 66 loss=0.6182, clf_loss=0.0021, lbl_loss=0.6161
Epoch 67 loss=0.6143, clf_loss=0.0010, lbl_loss=0.6133
Epoch 68 loss=0.6082, clf_loss=0.0023, lbl_loss=0.6059
Epoch 69 loss=0.6054, clf_loss=0.0012, lbl_loss=0.6042
Epoch 70 loss=0.6090, clf_loss=0.0045, lbl_loss=0.6045
Epoch 71 loss=0.5996, clf_loss=0.0017, lbl_loss=0.5979
Epoch 72 loss=0.5910, clf_loss=0.0006, lbl_loss=0.5904
Epoch 73 loss=0.6002, clf_loss=0.0011, lbl_loss=0.5991
Epoch 74 loss=0.5955, clf_loss=0.0009, lbl_loss=0.5946
Epoch 75 loss=0.5720, clf_loss=0.0008, lbl_loss=0.5712
Epoch 76 loss=0.5745, clf_loss=0.0038, lbl_loss=0.5707
Epoch 77 loss=0.5913, clf_loss=0.0088, lbl_loss=0.5826
Epoch 78 loss=0.5662, clf_loss=0.0011, lbl_loss=0.5652
Epoch 79 loss=0.5787, clf_loss=0.0005, lbl_loss=0.5782
Epoch 80 loss=0.5840, clf_loss=0.0014, lbl_loss=0.5825
Epoch 81 loss=0.5782, clf_loss=0.0073, lbl_loss=0.5708
Epoch 82 loss=0.5490, clf_loss=0.0017, lbl_loss=0.5474
Epoch 83 loss=0.5486, clf_loss=0.0007, lbl_loss=0.5479
Epoch 84 loss=0.5530, clf_loss=0.0007, lbl_loss=0.5522
Epoch 85 loss=0.5333, clf_loss=0.0004, lbl_loss=0.5328
Epoch 86 loss=0.5610, clf_loss=0.0006, lbl_loss=0.5604
Epoch 87 loss=0.5365, clf_loss=0.0015, lbl_loss=0.5350
Epoch 88 loss=0.5278, clf_loss=0.0003, lbl_loss=0.5275
Epoch 89 loss=0.5391, clf_loss=0.0010, lbl_loss=0.5381
Epoch 90 loss=0.5248, clf_loss=0.0004, lbl_loss=0.5243
Epoch 91 loss=0.5194, clf_loss=0.0004, lbl_loss=0.5190
Epoch 92 loss=0.5107, clf_loss=0.0004, lbl_loss=0.5103
Epoch 93 loss=0.5186, clf_loss=0.0008, lbl_loss=0.5178
Epoch 94 loss=0.4901, clf_loss=0.0004, lbl_loss=0.4897
Epoch 95 loss=0.4733, clf_loss=0.0007, lbl_loss=0.4726
Epoch 96 loss=0.5110, clf_loss=0.0029, lbl_loss=0.5081
Epoch 97 loss=0.4730, clf_loss=0.0008, lbl_loss=0.4722
Epoch 98 loss=0.5158, clf_loss=0.0006, lbl_loss=0.5153
Epoch 99 loss=0.4749, clf_loss=0.0008, lbl_loss=0.4741
Epoch 100 loss=0.5149, clf_loss=0.0009, lbl_loss=0.5141
Epoch 101 loss=0.4884, clf_loss=0.0011, lbl_loss=0.4874
Epoch 102 loss=0.4661, clf_loss=0.0009, lbl_loss=0.4651
Epoch 103 loss=0.4685, clf_loss=0.0064, lbl_loss=0.4620
Epoch 104 loss=0.4351, clf_loss=0.0010, lbl_loss=0.4341
Epoch 105 loss=0.4310, clf_loss=0.0007, lbl_loss=0.4303
Epoch 106 loss=0.4333, clf_loss=0.0005, lbl_loss=0.4327
Epoch 107 loss=0.4881, clf_loss=0.0022, lbl_loss=0.4859
Epoch 108 loss=0.4323, clf_loss=0.0005, lbl_loss=0.4318
Epoch 109 loss=0.4390, clf_loss=0.0007, lbl_loss=0.4383
Epoch 110 loss=0.4416, clf_loss=0.0010, lbl_loss=0.4406
Epoch 111 loss=0.4408, clf_loss=0.0005, lbl_loss=0.4403
Epoch 112 loss=0.4333, clf_loss=0.0007, lbl_loss=0.4326
Epoch 113 loss=0.4450, clf_loss=0.0007, lbl_loss=0.4443
Epoch 114 loss=0.3984, clf_loss=0.0006, lbl_loss=0.3978
Epoch 115 loss=0.4534, clf_loss=0.0023, lbl_loss=0.4511
Epoch 116 loss=0.4023, clf_loss=0.0004, lbl_loss=0.4019
Epoch 117 loss=0.4235, clf_loss=0.0025, lbl_loss=0.4209
Epoch 118 loss=0.4001, clf_loss=0.0006, lbl_loss=0.3996
Epoch 119 loss=0.4026, clf_loss=0.0017, lbl_loss=0.4008
Epoch 120 loss=0.4189, clf_loss=0.0015, lbl_loss=0.4174
Epoch 121 loss=0.3853, clf_loss=0.0008, lbl_loss=0.3846
Epoch 122 loss=0.3819, clf_loss=0.0005, lbl_loss=0.3814
Epoch 123 loss=0.4200, clf_loss=0.0006, lbl_loss=0.4194
Epoch 124 loss=0.4126, clf_loss=0.0007, lbl_loss=0.4118
Epoch 125 loss=0.4049, clf_loss=0.0009, lbl_loss=0.4041
Epoch 126 loss=0.4019, clf_loss=0.0005, lbl_loss=0.4014
Epoch 127 loss=0.3975, clf_loss=0.0014, lbl_loss=0.3962
Epoch 128 loss=0.3538, clf_loss=0.0008, lbl_loss=0.3531
Epoch 129 loss=0.3835, clf_loss=0.0010, lbl_loss=0.3825
Epoch 130 loss=0.4038, clf_loss=0.0008, lbl_loss=0.4030
Epoch 131 loss=0.3464, clf_loss=0.0008, lbl_loss=0.3456
Epoch 132 loss=0.3395, clf_loss=0.0010, lbl_loss=0.3384
Epoch 133 loss=0.3752, clf_loss=0.0012, lbl_loss=0.3740
Epoch 134 loss=0.3441, clf_loss=0.0012, lbl_loss=0.3428
Epoch 135 loss=0.3621, clf_loss=0.0009, lbl_loss=0.3611
Epoch 136 loss=0.3666, clf_loss=0.0008, lbl_loss=0.3658
Epoch 137 loss=0.3497, clf_loss=0.0008, lbl_loss=0.3489
Epoch 138 loss=0.3897, clf_loss=0.0011, lbl_loss=0.3886
Epoch 139 loss=0.3801, clf_loss=0.0005, lbl_loss=0.3796
Epoch 140 loss=0.3598, clf_loss=0.0007, lbl_loss=0.3591
Epoch 141 loss=0.3602, clf_loss=0.0008, lbl_loss=0.3594
Epoch 142 loss=0.3554, clf_loss=0.0005, lbl_loss=0.3549
Epoch 143 loss=0.3613, clf_loss=0.0014, lbl_loss=0.3598
Epoch 144 loss=0.3699, clf_loss=0.0003, lbl_loss=0.3696
Epoch 145 loss=0.3496, clf_loss=0.0003, lbl_loss=0.3493
Epoch 146 loss=0.3599, clf_loss=0.0004, lbl_loss=0.3595
Epoch 147 loss=0.3626, clf_loss=0.0011, lbl_loss=0.3615
Epoch 148 loss=0.3529, clf_loss=0.0007, lbl_loss=0.3522
Epoch 149 loss=0.3537, clf_loss=0.0008, lbl_loss=0.3528
Epoch 150 loss=0.3599, clf_loss=0.0016, lbl_loss=0.3582
Epoch 151 loss=0.3458, clf_loss=0.0009, lbl_loss=0.3449
Epoch 152 loss=0.3287, clf_loss=0.0022, lbl_loss=0.3265
Epoch 153 loss=0.3529, clf_loss=0.0004, lbl_loss=0.3525
Epoch 154 loss=0.3665, clf_loss=0.0004, lbl_loss=0.3661
Epoch 155 loss=0.3742, clf_loss=0.0025, lbl_loss=0.3717
Epoch 156 loss=0.3673, clf_loss=0.0006, lbl_loss=0.3667
Epoch 157 loss=0.3622, clf_loss=0.0007, lbl_loss=0.3615
Epoch 158 loss=0.3457, clf_loss=0.0007, lbl_loss=0.3450
Epoch 159 loss=0.3354, clf_loss=0.0027, lbl_loss=0.3326
Epoch 160 loss=0.3607, clf_loss=0.0010, lbl_loss=0.3597
Epoch 161 loss=0.3516, clf_loss=0.0006, lbl_loss=0.3510
Epoch 162 loss=0.3605, clf_loss=0.0012, lbl_loss=0.3593
Epoch 163 loss=0.3406, clf_loss=0.0006, lbl_loss=0.3401
Epoch 164 loss=0.3502, clf_loss=0.0007, lbl_loss=0.3495
Epoch 165 loss=0.3487, clf_loss=0.0006, lbl_loss=0.3481
Epoch 166 loss=0.3003, clf_loss=0.0031, lbl_loss=0.2972
Epoch 167 loss=0.3220, clf_loss=0.0004, lbl_loss=0.3215
Epoch 168 loss=0.3229, clf_loss=0.0010, lbl_loss=0.3219
Epoch 169 loss=0.3148, clf_loss=0.0018, lbl_loss=0.3130
Epoch 170 loss=0.3315, clf_loss=0.0004, lbl_loss=0.3311
Epoch 171 loss=0.3468, clf_loss=0.0007, lbl_loss=0.3461
Epoch 172 loss=0.3328, clf_loss=0.0009, lbl_loss=0.3319
Epoch 173 loss=0.3640, clf_loss=0.0005, lbl_loss=0.3636
Epoch 174 loss=0.3397, clf_loss=0.0005, lbl_loss=0.3392
Epoch 175 loss=0.3293, clf_loss=0.0005, lbl_loss=0.3288
Epoch 176 loss=0.3519, clf_loss=0.0005, lbl_loss=0.3515
Epoch 177 loss=0.2941, clf_loss=0.0005, lbl_loss=0.2936
Epoch 178 loss=0.3351, clf_loss=0.0003, lbl_loss=0.3348
Epoch 179 loss=0.3483, clf_loss=0.0004, lbl_loss=0.3478
Epoch 180 loss=0.3235, clf_loss=0.0004, lbl_loss=0.3231
Epoch 181 loss=0.3255, clf_loss=0.0006, lbl_loss=0.3248
Epoch 182 loss=0.3177, clf_loss=0.0003, lbl_loss=0.3174
Epoch 183 loss=0.3062, clf_loss=0.0002, lbl_loss=0.3060
Epoch 184 loss=0.2953, clf_loss=0.0002, lbl_loss=0.2950
Epoch 185 loss=0.3133, clf_loss=0.0005, lbl_loss=0.3128
Epoch 186 loss=0.3114, clf_loss=0.0009, lbl_loss=0.3105
Epoch 187 loss=0.3221, clf_loss=0.0006, lbl_loss=0.3215
Epoch 188 loss=0.3435, clf_loss=0.0003, lbl_loss=0.3432
Epoch 189 loss=0.3065, clf_loss=0.0004, lbl_loss=0.3061
Epoch 190 loss=0.3001, clf_loss=0.0004, lbl_loss=0.2997
Epoch 191 loss=0.3236, clf_loss=0.0005, lbl_loss=0.3231
Epoch 192 loss=0.3068, clf_loss=0.0006, lbl_loss=0.3062
Epoch 193 loss=0.3293, clf_loss=0.0006, lbl_loss=0.3287
Epoch 194 loss=0.3028, clf_loss=0.0051, lbl_loss=0.2977
Epoch 195 loss=0.3061, clf_loss=0.0022, lbl_loss=0.3039
